"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"89f79444-c35c-4454-9183-633302fe2b14","List clusterAdmin credential","Succeeded","Administrative","Informational","2023-07-22T10:59:32.799Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"89f79444-c35c-4454-9183-633302fe2b14","List clusterUser credential","Started","Administrative","Informational","2023-07-22T10:59:32.595Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"89f79444-c35c-4454-9183-633302fe2b14","List clusterAdmin credential","Started","Administrative","Informational","2023-07-22T10:59:32.612Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"89f79444-c35c-4454-9183-633302fe2b14","List clusterUser credential","Succeeded","Administrative","Informational","2023-07-22T10:59:32.798Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"be7730b8-0e39-448c-91d0-788329e53643","List clusterUser credential","Succeeded","Administrative","Informational","2023-07-22T10:59:31.802Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"be7730b8-0e39-448c-91d0-788329e53643","List clusterUser credential","Started","Administrative","Informational","2023-07-22T10:59:31.552Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"be7730b8-0e39-448c-91d0-788329e53643","List clusterAdmin credential","Started","Administrative","Informational","2023-07-22T10:59:31.565Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"be7730b8-0e39-448c-91d0-788329e53643","List clusterAdmin credential","Succeeded","Administrative","Informational","2023-07-22T10:59:31.705Z","7d078127-0cf0-434b-8631-b61ed94c10de","mohamed.ayari@insomea.tn","Microsoft.ContainerService/managedClusters","viya4-rg","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/viya4-rg/providers/Microsoft.ContainerService/managedClusters/viya4-aks"
"79e9a30f-13ee-4432-8345-4e8f2a7446b4","Create or Update Route Table","Succeeded","Administrative","Informational","2023-07-22T01:44:41.055Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Network/routeTables","mc_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourcegroups/mc_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Network/routeTables/aks-agentpool-31394748-routetable"
"79e9a30f-13ee-4432-8345-4e8f2a7446b4","Create or Update Route Table","Started","Administrative","Informational","2023-07-22T01:32:39.905Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Network/routeTables","mc_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/mc_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Network/routeTables/aks-agentpool-31394748-routetable"
"79e9a30f-13ee-4432-8345-4e8f2a7446b4","Create or Update Route Table","Accepted","Administrative","Informational","2023-07-22T01:32:40.140Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Network/routeTables","mc_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/mc_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Network/routeTables/aks-agentpool-31394748-routetable"
"79e9a30f-13ee-4432-8345-4e8f2a7446b4","Create or Update Route Table","Succeeded","Administrative","Informational","2023-07-22T01:34:40.252Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Network/routeTables","mc_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourcegroups/mc_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Network/routeTables/aks-agentpool-31394748-routetable"
"d115dbbe-bf98-4e21-ac9a-19a221328fce","Create or Update Virtual Machine Scale Set","Succeeded","Administrative","Informational","2023-07-22T01:42:16.015Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Compute/virtualMachineScaleSets","MC_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourcegroups/MC_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Compute/virtualMachineScaleSets/aks-stateful-50300502-vmss"
"d115dbbe-bf98-4e21-ac9a-19a221328fce","Create or Update Virtual Machine Scale Set","Started","Administrative","Informational","2023-07-22T01:30:12.700Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Compute/virtualMachineScaleSets","MC_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/MC_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Compute/virtualMachineScaleSets/aks-stateful-50300502-vmss"
"d115dbbe-bf98-4e21-ac9a-19a221328fce","'auditIfNotExists' Policy action.","Started","Policy","Informational","2023-07-22T01:30:14.028Z","7d078127-0cf0-434b-8631-b61ed94c10de","78b968b9-3ef2-4fe6-95b9-bd3e1c15abbf","Microsoft.Compute/virtualMachineScaleSets","MC_viya4-rg_viya4-aks_northeurope","/subscriptions/7d078127-0cf0-434b-8631-b61ed94c10de/resourceGroups/MC_viya4-rg_viya4-aks_northeurope/providers/Microsoft.Compute/virtualMachineScaleSets/aks-stateful-50300502-vmss"
